umap_x,umap_y
12.836245,8.363235
13.081722,7.2662096
13.203911,8.094953
13.668674,7.4364324
13.243429,6.3171964
12.599024,5.9342875
14.015299,5.7220716
13.750641,6.2611213
13.4773855,7.4581594
13.647173,7.704436
13.663604,6.9029827
13.594949,7.3221555
14.064768,5.9377637
12.166015,7.380171
12.396133,6.7903748
9.650005,-1.1890285
12.112545,6.7901216
9.090382,-1.0991324
12.891563,5.778442
12.940623,5.803415
9.266509,-1.8655635
13.312322,7.6930423
12.808187,5.6720586
13.920793,6.414121
13.721043,7.2670765
12.967829,6.8706098
12.283807,6.2760706
12.066571,7.617279
-4.3579035,0.9948782
-4.067022,0.6396843
-2.081234,-0.079051375
-4.264232,0.53052765
-4.0147815,0.7471003
-2.117413,-0.071377344
12.076393,6.666336
9.100929,-0.48779222
13.6896105,5.8458285
-2.087709,0.034563657
13.19894,5.848299
13.295352,7.1568475
13.488126,5.737737
9.486677,-1.4517268
-4.217939,0.8669078
14.132609,6.7225523
9.342821,-1.8246119
-1.7583911,-0.33010936
13.996844,6.9208837
-2.0200372,-0.14843771
12.733522,6.1846066
8.651493,-1.7474166
9.594142,-0.65594804
12.741999,6.1457925
13.947359,5.887398
12.152496,7.102628
9.384591,-0.7496524
13.922732,6.1725616
-1.6238331,0.11755405
13.757831,6.076622
12.224326,7.8610578
12.086525,7.9331956
12.885701,6.36474
13.148446,6.5884366
-1.6207584,0.012297085
-1.9333899,-0.3305594
-4.0961375,1.0563253
14.098412,6.4330597
-1.716033,-0.052804265
9.686276,-0.8700756
8.630542,-0.29095447
12.550369,7.3475647
9.06277,-1.8412248
8.824988,-0.5795696
11.896113,7.201074
-1.5524532,0.06477324
8.713544,-0.36299548
9.576454,-1.5098243
13.776188,7.1258345
12.783162,6.480449
-1.527743,0.18047918
9.235301,-1.7822487
8.975885,-0.49091357
12.500211,8.190208
-3.9372075,1.1599303
8.833303,-1.5764068
12.454013,7.5052624
-3.899742,1.8374213
-4.054293,0.66436225
-1.539818,-0.09291232
-4.178508,0.6513103
-1.8329682,-0.012032644
0.34243113,4.5800095
-4.0619264,1.7125348
0.29295275,4.4496055
12.077822,6.4379754
8.910684,-1.266193
13.633733,6.9769883
-3.7669291,1.397979
8.953736,-1.2495037
13.911909,5.688848
13.233599,6.018264
-4.2596374,0.9108029
-2.5573375,0.17226893
8.707739,-1.2835249
-1.6567916,0.2033539
9.268139,-1.2756555
9.1919,-1.946576
-3.9403,0.57566994
0.62614584,4.453214
-3.9775267,0.5544378
11.955505,6.957086
-4.036161,0.509291
9.307827,-1.8647727
14.065188,6.9653926
12.369513,6.405316
0.37539122,4.3182836
12.251472,6.9983935
-1.5567821,-0.26249424
12.24727,7.696882
12.675665,7.4672823
9.387605,-1.0918154
12.915664,7.1324987
0.46653986,4.4827833
13.119245,7.5480084
13.903721,6.936098
5.696417,6.8637896
13.267294,6.163571
12.05125,7.7747364
12.31362,6.6298
9.129357,-0.9733969
13.102283,8.168494
-4.054529,1.8230268
-4.3439503,1.2973036
6.3647375,6.965697
-4.394429,1.0849456
9.581687,-1.0723594
5.8607283,6.86231
13.052497,7.585643
8.882081,-0.6396004
12.807889,6.0073366
5.6971164,6.8430963
6.036058,6.8775215
13.0449915,6.476898
12.331049,7.186666
6.089683,6.792922
13.598771,7.496602
8.659359,-1.3464841
0.6141783,4.548047
11.821875,7.381796
8.662876,-0.53167623
-1.8610579,0.064333335
6.1802015,6.8715463
13.748055,6.507981
8.426218,-0.5604982
9.706865,-1.2972593
13.912338,6.481809
12.708469,8.270052
-1.5423237,-0.26911718
-1.3958938,-0.16063195
13.864689,6.4006305
9.6832485,-1.1076598
9.746752,-1.197237
9.682995,-0.98629445
9.498113,-0.4875914
0.38503036,4.268198
-4.0897555,1.2468346
13.068848,7.6324773
-4.4869113,1.1548886
8.983626,-1.3665599
12.707248,7.877066
12.822698,7.88167
12.41518,6.8951693
8.7843485,-0.002339785
8.683128,-0.6310788
12.276223,7.54403
5.6223764,6.4308467
13.156552,7.661493
6.3177376,6.9599414
9.119569,-1.3808237
12.524009,8.027999
13.129531,7.2076354
12.607926,8.09762
-3.9022555,1.9014982
12.427843,8.096961
9.2260475,-0.57596505
8.821149,-1.0338063
-1.3379421,-0.017122837
-4.1288204,1.6125343
9.322477,-1.5146079
12.288366,7.8280616
12.929846,7.485759
6.4231553,7.0887737
6.3242517,7.1686277
0.52514637,4.387574
12.112689,7.6781836
-3.8735454,1.8671465
-4.562514,0.6204489
-4.4958105,0.6449101
6.196568,6.931191
8.851161,-1.6405234
6.2635765,7.182721
9.603686,-1.4520465
11.883778,6.5306215
-3.8897371,1.911758
8.881869,-0.38804662
14.439651,6.8691874
-3.9667778,1.5834244
-4.5000563,0.5975018
5.9814878,7.03895
12.0534525,6.4389114
13.196091,6.817316
0.46091178,4.3636518
8.261741,-0.36906767
12.857778,5.514777
-4.4766903,0.5823999
0.54027116,4.483184
-4.0515847,1.1973426
12.022448,7.7751827
5.667525,6.9741526
-3.764754,1.0050435
8.235593,-0.5166494
-1.9732648,0.109715015
0.5526975,4.4292326
12.682529,6.924362
13.146121,8.006186
12.451117,7.279881
12.723863,7.311939
12.725605,6.5969224
0.5085726,4.2456613
6.1034336,6.86006
8.709691,-2.0024657
0.4053868,4.319915
12.65596,7.160694
6.4950714,6.905771
8.4433565,-0.17812426
8.543957,-1.5274714
0.5164454,4.524811
5.382049,6.028491
5.7791867,7.0785146
8.695058,-1.9163322
0.56141305,4.6506324
5.966566,7.2213387
6.2383323,7.065677
8.549438,-2.1254597
8.578522,0.08323461
8.673372,-1.9736538
8.173831,-0.4971315
8.785768,-1.9775035
6.0420694,7.229143
8.790869,-1.9481248
6.013414,6.7861857
14.05801,6.6574883
5.693363,6.245969
5.614942,6.8142996
6.5298295,6.5266185
5.5875506,6.906913
8.181912,-0.48760173
6.025849,6.5865617
14.078004,6.88382
