umap_x,umap_y
6.7790055,7.610944
6.2552457,7.0966697
7.45196,7.980378
6.0418386,7.2030096
7.4276743,8.158606
6.9217706,6.602216
7.5597954,7.0380535
6.708039,6.4547935
6.200951,7.3863244
6.8615303,6.48366
8.0578375,6.8846254
6.3535237,6.9185967
7.45637,7.0736575
6.209128,7.137634
6.39559,7.2463794
10.069741,3.4598017
6.4779534,7.581481
10.650625,3.2523584
7.084129,6.327952
7.0110846,6.931001
11.871829,2.4098213
6.636323,7.279757
7.2844543,7.454568
7.9973526,6.5241766
8.302143,6.9676046
7.071626,6.577698
8.314988,7.5059175
6.7014346,6.753525
-6.2463803,3.1231651
-6.4023542,3.3733723
-3.9454148,3.2206855
-6.3420005,3.2059083
-6.1326785,3.0313208
-3.9887364,3.3658533
6.408184,7.4461856
10.821987,3.6073852
6.201767,7.3960485
-4.009337,3.1830997
7.4412365,6.7032213
7.212543,7.0714602
6.9881997,7.475176
11.887215,1.9307387
-6.04823,2.9849825
8.3399105,7.14289
11.712322,1.9704353
-3.9651294,3.2692199
8.063152,7.7785754
-4.3976507,3.7482853
7.473064,6.971694
11.701162,2.0086088
11.039493,3.5245214
6.9182706,6.7738304
6.3310204,7.339862
7.1084466,7.9323378
10.415645,3.6587367
7.732281,6.990143
-4.6084456,3.7904327
8.312368,6.644497
7.0857053,7.8465242
7.5773206,7.3129106
7.379494,7.231407
7.0370803,8.157311
-4.8195868,3.5263581
-3.8484905,3.096421
-5.9324636,2.8674128
6.136533,6.78462
-4.68413,3.7860277
11.380869,2.7753563
11.551005,2.6269538
7.6239414,7.703803
11.378651,3.180677
10.994321,3.1529307
6.83034,8.03895
-4.9984384,3.7619712
10.674575,2.837827
10.408325,3.5985389
5.9420767,6.460992
8.422861,7.657493
-4.726032,3.6055326
11.093068,3.1205134
10.655265,3.7352953
7.828544,7.8434825
-5.4180884,3.0248306
10.66836,2.818117
6.7291393,7.4393525
-5.5907383,2.4091718
-6.541244,3.3557382
-4.727391,3.9612107
-6.346565,3.374678
-4.95598,3.465342
-4.588859,2.631126
-5.45429,2.675674
-4.672735,2.834323
7.965292,6.619745
11.8900585,1.9898022
6.164463,6.2131906
-5.408771,2.9377775
10.878543,3.2753494
8.236677,7.282018
7.6400604,7.2643466
-6.3846893,3.2815845
-4.2480097,3.7175848
10.174882,2.8936453
-4.872678,3.5714262
10.923197,2.942971
11.823964,2.0732303
-5.959303,2.9081001
-4.583062,2.9503057
-6.3212667,2.929949
6.9657207,6.732356
-6.3075533,3.6162212
11.561875,2.2423954
7.360184,7.695655
7.897421,6.860479
-4.293512,3.0340025
7.167428,7.304765
-4.516624,3.9040077
7.1488366,7.46481
5.9684896,6.5569577
10.459448,3.4561434
7.940868,6.41618
-4.595915,2.9033604
7.5765457,7.0662026
7.222792,6.9208293
0.98746157,4.6044626
6.706005,7.617407
7.5489635,7.292241
7.5124593,7.712736
10.685043,3.4731266
8.110386,6.9791064
-5.5442796,2.548257
-5.995778,3.967496
1.0674374,4.731105
-5.9308214,2.8932517
10.241172,3.3804994
0.9709387,4.846905
7.338775,6.626139
11.242674,3.3332794
7.381832,7.3625154
1.1460328,5.0716887
1.2007805,4.7903323
6.625102,6.634029
7.7507095,7.795972
1.0481471,5.1110377
6.3112626,7.6759887
10.647725,3.4983082
-4.2806745,2.9862924
8.276566,7.577543
10.341195,3.9733443
-3.8754296,3.2994156
0.9829686,4.737833
8.348828,6.743658
11.8076515,1.9972302
11.162673,2.6075137
7.4639225,8.067737
7.8957233,7.094293
-4.7845716,4.020293
-4.886912,3.8406916
8.12928,7.3097634
10.594183,3.8491383
11.133883,2.9638627
10.53862,2.8815339
10.120473,3.7043796
-4.484971,3.021343
-5.305537,2.8658824
6.6982384,8.134775
-5.860186,2.848438
11.308344,2.6829653
7.4864583,6.6401114
6.211511,7.689621
5.88502,6.17819
10.542292,3.0973883
11.187197,2.7405844
6.700229,7.4252477
1.2075429,4.9115953
7.981042,7.369968
1.128677,4.950672
10.956369,3.4474816
7.8888264,7.8953485
7.243515,7.738685
6.833158,6.3615923
-5.275479,2.9532502
6.612521,8.0940895
11.202085,3.5306435
11.370169,3.347192
-4.900447,3.9651883
-5.319752,2.8742697
10.334177,3.215805
5.981774,6.243587
6.369983,6.2454753
1.3220667,5.3577237
1.2438766,5.266756
-4.7155967,2.5878792
6.127258,7.6274323
-5.2019415,3.2189226
-6.172042,3.8973866
-6.087959,4.0047927
1.3743489,5.387
10.484638,3.2791667
1.515214,5.1624074
10.330616,3.58212
8.013657,7.331599
-5.2264967,3.25051
10.321523,3.2005396
1.2487345,5.442041
-5.4848595,2.4717405
-6.127223,3.8537612
1.3886852,5.5213237
6.021231,6.175904
6.510293,8.006955
-4.342568,2.4915087
11.658655,2.040405
10.179532,3.5345774
-6.190201,3.962689
-4.1662116,2.0000482
-4.1711364,3.6230338
6.5277433,7.1299047
0.919241,4.8591995
-5.5183783,2.7316122
11.724428,2.0803928
-3.8551705,3.106729
-4.3590646,2.1468332
5.8414235,6.530116
6.2752333,6.502045
6.226604,6.0342464
5.8307934,6.4633107
6.720896,7.1841288
-4.217508,2.0927246
1.367666,5.409741
11.094349,4.0269547
-4.2586946,2.0610068
5.993649,6.1213636
1.4140061,5.5150414
10.961028,2.8474553
11.230425,3.944238
-4.22329,2.0817814
1.2308284,4.8822412
1.2804991,5.4148965
11.081492,4.1924477
-4.248843,2.034722
0.8509936,5.055538
1.0198202,5.264777
11.037403,4.0936255
11.185633,2.9243572
11.13869,4.116873
11.030177,2.830737
10.943493,3.9074016
0.87537843,5.2673087
10.988373,4.128747
1.0746706,5.221665
7.8826256,7.795549
-4.0894,3.0969973
0.84423155,4.766298
10.764215,2.6587694
0.7901827,4.79867
10.588051,3.318585
10.091988,3.9467096
7.773379,6.1762533
