umap_x,umap_y
5.352181,3.6463847
16.565273,4.2809916
5.409336,3.6963236
16.363579,4.4957194
16.356749,4.532673
16.34668,4.4611974
16.494242,4.2412705
5.263694,3.6050549
16.206459,4.674702
16.161583,4.6613755
5.348452,3.5150256
5.2559114,3.5340195
16.517746,4.3872933
15.769369,-2.7551258
5.79688,2.6308458
5.3796773,3.603464
5.858844,2.5465925
5.3146286,3.7103221
5.7630386,2.673011
16.276459,4.4876437
15.573798,-2.5141158
5.2724943,3.6423047
16.517828,4.2964892
15.558024,-2.4952452
15.827471,-2.7894838
5.3700824,3.6808043
16.0552,4.5954914
5.532565,3.974455
5.3491297,3.5552497
16.204403,4.640264
11.038037,8.554192
15.737546,-2.7129185
16.543814,4.3170033
16.427832,4.335134
15.627811,-2.7887795
15.67489,-2.6288614
16.27065,4.4852
15.716147,-2.8419015
11.299795,8.388657
11.5030985,8.5210705
11.3418,8.591716
11.263151,8.323927
11.332477,8.3977995
11.591453,8.580366
2.8507218,6.8320165
2.8793185,6.797612
11.727323,11.709439
11.161537,8.243945
11.875868,11.6502495
11.492286,8.502852
2.9279602,6.7503896
2.6155207,7.0017605
2.5714629,6.8552294
11.453344,8.255825
2.4962916,7.0183253
11.399238,8.393275
2.530254,7.003798
2.6090636,6.942173
2.6283693,7.0789714
11.221121,8.345591
11.251346,8.315766
2.6277115,7.001348
2.6560829,6.90988
4.639922,3.7776642
4.5849757,3.8403301
4.6591187,3.8289976
4.6925282,3.7529013
4.5897655,3.7970154
15.900152,-2.884585
-1.2368673,7.256595
-1.1463455,7.4100595
-1.2324713,7.448618
-1.1235492,7.6913323
-1.1200763,7.311139
-1.3230187,6.93148
-1.5179273,7.2141933
-1.3935064,7.0446396
-1.4955211,7.1776156
-1.0452708,7.5687375
-3.71584,8.676765
-1.0374919,7.215511
-1.077214,7.64267
-1.3917987,7.0449185
-3.7453623,8.70878
-1.3377126,7.191116
-1.1323713,7.2714314
-0.9002685,7.2632837
-1.2743069,7.7119684
-3.717034,8.554288
-1.6572325,7.067059
-4.3225183,8.760366
-4.548794,8.795766
-3.6800554,8.658533
-4.46705,8.939871
-4.4751477,8.869469
-4.533027,8.772398
-3.5924225,8.557611
-3.556528,8.518036
-3.8834016,8.780519
-4.4866924,8.861933
-3.831028,8.603415
-1.2833542,7.175517
-3.771562,8.706541
-1.4158323,7.5461793
-1.4721066,7.6730623
-1.444757,7.629142
6.7501245,-7.564327
18.80895,17.613144
6.152212,-7.4370856
6.762304,-7.6190004
19.58113,17.190311
18.490421,17.65774
19.01249,17.552813
18.992453,17.289585
6.227591,1.3090482
6.5695515,-7.3261933
19.76759,17.207394
18.972738,17.530558
6.3657885,1.5480096
19.595562,17.249422
19.725874,17.030363
6.8917675,-7.474388
18.512445,17.636724
6.046471,-7.351083
6.3679037,1.7404906
19.057505,17.266941
6.406877,1.7629528
6.4516206,1.278186
18.61187,17.430454
19.67396,17.042645
6.6108027,-7.621157
6.507582,1.1810364
6.0633087,-7.3169146
6.1786323,1.9061853
19.141785,17.090538
6.70916,-7.4056945
18.55167,17.357016
6.492456,-7.462864
6.6931067,-7.215573
19.1224,17.161009
6.810616,-7.4404845
6.1220884,-7.2919135
19.116415,17.414516
6.2692137,-7.92183
19.166264,17.32232
18.535883,17.514957
19.596588,17.103468
6.3875604,-7.6786876
5.9439783,-7.462612
18.499352,17.469002
19.181072,17.585117
6.243402,1.8712362
6.5996532,1.687772
6.163368,1.6075791
19.350662,17.43444
6.5302353,-7.4572415
6.196566,-7.857686
6.3540816,0.7862424
19.658966,17.109232
19.40853,17.370182
18.861124,17.534191
6.1692643,-7.5822434
6.259226,0.64498806
18.504118,17.483582
6.4378066,-7.4704123
6.1652193,-7.964926
6.1035314,-7.864929
6.820802,-7.4843755
19.435827,17.416756
6.4081206,0.76693827
6.2217565,1.5006368
6.243222,1.6338851
6.1129065,1.1469154
6.6443357,-7.530085
6.387215,1.8107095
6.4858155,1.8008547
6.1753707,-7.9088216
6.5667367,1.3815082
6.069363,1.9106591
6.507237,1.1779996
6.3488116,0.745717
6.444863,0.8466023
6.4409285,1.0125419
6.259302,1.5939544
6.3837104,1.0325936
6.1791024,1.3549088
16.08889,-3.571051
16.364017,5.275682
15.523498,-3.6913528
15.9160385,-3.133124
15.67754,-3.535114
16.318838,5.009859
15.295235,-3.9443772
16.001629,-3.4098096
16.097898,-3.443537
15.937881,-3.6610677
10.788417,11.780265
16.342361,-3.562216
16.188278,-3.5157151
16.113346,-3.5532248
15.270077,-3.9984555
15.987541,-3.7928545
15.51036,-3.7422945
15.330697,-3.9384933
16.256361,5.092263
15.876849,-3.863128
16.391617,-3.580236
16.260153,-3.6964667
15.488632,-3.7773633
16.259563,-3.5449612
16.3672,-3.574263
15.684521,-3.594798
15.301298,-3.9741185
16.19202,-3.6089687
16.033325,-3.397054
15.949313,-3.206525
11.287903,12.420108
12.3064375,11.960029
11.457238,11.57398
11.364459,12.63472
11.417016,11.773487
12.212107,12.372164
11.899554,11.871556
11.656739,12.165943
12.208325,12.422178
12.266809,12.475061
11.649336,12.819622
12.179997,12.574734
11.686221,12.244098
12.261682,12.05861
11.519157,12.36199
11.50511,12.226413
11.207808,11.792789
11.544032,12.686344
11.505322,12.034907
11.416254,12.793702
11.90311,12.7608185
10.9717045,11.963761
12.084023,11.651886
12.44969,12.103494
11.433479,11.790243
11.026933,11.831055
12.240215,11.972522
11.378663,12.834153
11.380013,12.846469
11.511469,12.492979
10.913996,11.980044
12.184939,12.531496
12.330465,12.041309
11.233627,12.751634
11.695012,12.653976
11.369396,11.948376
11.327687,12.149452
11.5872555,11.584703
11.849738,11.7919445
11.376691,11.630361
11.806926,12.686878
