umap_x,umap_y
2.1077032,13.533507
-2.064839,13.29335
7.1675286,10.396184
-1.9476123,13.163799
6.794427,10.271928
6.886098,10.32514
7.0397854,10.509174
7.019996,10.48927
-2.04576,13.091921
7.127149,10.457285
6.5721393,10.801467
-1.750002,13.068469
-1.8110161,13.123172
7.0094886,10.554111
4.7082734,13.827081
0.9022043,13.444622
-1.8769127,13.080025
0.97655904,13.56995
-1.7613313,13.0831375
0.9071348,13.472151
7.0693884,10.553559
4.4938774,13.469463
-2.038573,13.297522
6.7134647,10.667937
4.4848113,13.482897
4.704863,13.831021
-1.9244683,13.183398
6.7274384,10.765577
-1.6518635,12.966973
-1.9097334,13.137564
6.805186,10.622187
-0.6123783,9.620425
3.7020023,15.272569
6.9818907,10.500156
6.709319,10.593968
2.912407,13.486116
3.5427325,14.731186
7.1113267,10.465084
2.9147577,13.430841
5.439261,11.2986355
5.7835183,11.280925
5.804095,11.229001
5.5157647,11.246343
5.5058265,11.169818
5.6943502,11.260101
-1.5350066,13.345448
-1.6445161,13.327694
14.1306715,4.7490973
5.595257,11.143157
14.110817,4.7458005
5.8238087,11.1866455
-1.6498463,13.232986
-0.54427767,9.574431
-0.5941108,9.58667
5.569887,11.332891
-0.4673918,9.454599
5.6576,11.3359785
-0.428438,9.420989
-0.5618615,9.555084
-0.51643205,9.507693
2.5270433,13.519135
2.6905653,13.367874
-0.5496818,9.540586
-0.5907214,9.580474
-1.0370678,13.515478
-0.99480426,13.536282
-1.1233577,13.470705
-1.0804957,13.470366
-1.134012,13.444472
4.668457,13.781717
-1.5523763,0.1524139
-0.9285024,0.14373994
-1.3953032,0.004343379
-0.8278247,0.13124584
-1.3865682,0.12779719
-1.4973817,-0.18890975
-1.6116073,-0.08988205
-1.4002877,-0.11446361
-1.3357601,-0.07664375
-0.97137153,0.19253327
2.037643,15.321549
-1.2738408,0.30896044
-0.8579956,0.12554085
-1.5385314,-0.23856059
1.8386574,15.094774
-1.4178512,0.027659822
-1.2985111,0.3734206
-1.4620368,0.24932332
-0.7604094,0.0654055
1.8953942,15.214313
-1.4702206,-0.22820532
-5.606655,12.893978
-5.6726074,12.933941
1.7488306,15.270574
-5.688749,12.805616
-5.603535,12.8629265
-5.6233497,12.867337
1.790681,14.949464
1.7688733,14.932213
1.9131594,15.054642
-5.561552,12.889555
1.8005161,15.11082
-1.3796272,0.09072003
1.866933,15.172056
-1.0539774,0.33016515
-0.89150155,0.2767489
-1.1067072,0.24993996
5.017848,14.211469
14.445875,-6.0548496
5.6002455,13.506441
5.2900615,14.332442
13.723574,-6.2845902
14.335186,-6.0739007
13.758555,-6.311027
13.561124,-6.8215947
1.6203271,13.555986
5.121466,14.492438
13.384325,-6.9779277
13.701113,-6.2368884
1.2982657,13.900282
13.810528,-6.14931
13.230576,-6.9391327
5.023973,14.664212
14.393892,-6.1985435
5.1137867,14.647931
1.1531464,13.744871
13.956111,-6.765583
1.4790871,13.605565
1.7157288,13.030427
14.475588,-6.1708875
13.235816,-7.103728
5.3956037,14.1305485
1.7621512,12.985891
5.361455,14.433489
1.4120023,13.876952
14.105708,-6.331061
5.090822,14.455945
14.246618,-6.24482
4.865606,14.172903
5.280533,14.564791
14.206147,-6.3307414
5.4747157,14.058251
4.750115,14.195358
14.1487255,-6.2506704
5.530325,13.842678
13.664719,-6.8156633
14.258267,-6.467064
13.313848,-7.0510187
5.4440536,13.729398
5.313493,14.112732
14.1043825,-6.1175575
13.878236,-6.065647
1.526384,13.611122
1.7331914,13.657093
1.1426089,13.738497
14.004471,-6.0153456
4.972931,14.698709
5.4980145,13.572747
1.8081253,13.4208555
13.266742,-7.060279
13.499934,-6.9179287
14.536381,-6.2049184
4.9897346,14.565563
1.9404308,13.270588
14.158986,-5.977811
4.931105,14.23976
5.567192,13.638621
5.4368973,13.624876
5.258853,14.517701
13.905163,-6.2936287
1.6715258,12.709728
1.4862823,13.696915
1.2471528,13.959118
1.558538,13.511977
4.930477,14.414035
1.8474376,13.848456
1.3766495,13.963669
5.5400167,13.5815
1.6498438,13.08977
1.1625497,13.771501
1.6493365,13.107649
1.7916639,12.780347
1.7827435,12.818785
1.7118536,12.779894
1.4766334,13.447059
1.5895371,12.981289
1.769474,13.538096
4.0799108,14.912812
14.809855,3.9713874
4.3784366,15.941269
4.061546,15.441143
4.3100405,15.843985
14.566651,-6.1940603
4.350777,15.864755
4.097457,15.550068
4.0942993,15.385917
4.4052267,15.988473
14.258003,-6.4253945
4.168941,15.230337
4.1298914,15.300239
4.206499,15.601389
4.474904,16.008396
4.094819,14.39745
4.020866,14.274972
4.3345704,15.174103
14.410708,-6.370356
3.920297,14.388899
4.185547,15.4884815
4.050839,15.496041
4.4411964,15.961427
4.229381,15.118895
4.1973453,15.043733
4.5000405,15.875223
4.4520316,15.98952
4.09455,15.61117
3.8449152,15.730313
3.8265376,15.577313
14.313868,4.10449
13.348003,3.0871413
14.552037,3.7392137
13.992006,3.7573166
14.035146,3.28712
13.473312,3.1415217
14.273269,3.5709157
14.47107,3.6139112
13.578283,3.6106482
13.56144,3.1722348
13.555202,3.6009715
13.768901,3.2645555
14.149797,3.8761652
13.661776,3.4000072
14.186959,3.8671002
14.424652,4.0168605
14.44174,3.2720895
14.548631,4.2309217
14.34473,4.1280484
14.050024,4.2465463
13.78762,3.3743765
14.024272,3.8724604
13.634544,3.2611022
13.478117,3.014455
14.440504,3.4101107
14.370394,3.2053597
13.348618,3.220097
13.939129,4.178834
14.593867,4.179762
14.494202,4.2233806
14.573606,3.692147
13.985516,3.6150975
13.655225,3.2576787
13.738932,3.8082707
14.163162,3.568783
14.282886,4.382038
14.303337,4.3535233
14.399591,3.2246335
14.151309,3.410493
14.287795,3.1969624
13.518038,3.3704743
