[UNK]
C14H26O4+Na+
C16H22O4+Na+
C19H18O3+Na+
C10H26N4+H+
C16H22O4+H+
C16H32O2-H-
C24H38O4+H+
C12H24O3+Na+
C26H42O4+H+
C18H20O4+H+
C23H48NO7P-H-
C40H80NO8P+Na+
C13H24O4+Na+
C19H26O3+Na+
C10H20O4+Na+
C16H30O4+Na+
C42H82NO8P+Na+
C46H84NO8P+H+
C44H86NO8P+Na+
C22H42O4+Na+
C4H9N3O2+H+
C8H18O5+Na+
C24H38O4+Na+
C25H44NO7P-H-
C45H78NO7P+Na+
C4H9N3O2+K+
C43H76NO7P+Na+
C28H40O4+H+
C26H42O4+Na+
C48H91NO8+Na+
C29H46O3+Na+
C10H17N3O6S-H-
C19H37O6P+H+
C10H8N2O2-H-
C18H34O4+Na+
C37H66O4+H+
C37H68O4+H+
C35H66O4+H+
C39H72O5+H+
C37H70O5+H+
C35H64O4+H+
C24H50NO7P+H+
C29H47NO4+Na+
C39H79N2O6P+H+
C55H102O6+Na+
C26H54NO7P+H+
C37H66O5+H+
C40H80NO8P+H+
C41H71O8P+H+
C10H13N5O4+H+
C45H82NO8P+H+
C46H84NO8P+Na+
C48H82NO8P+H+
C44H84NO8P+H+
C46H80NO8P+H+
C42H82NO8P+H+
C44H86NO8P+H+
C43H78NO8P+Na+
C46H86NO8P+Na+
C45H76NO8P+H+
C44H84NO8P+Na+
C42H78NO8P+H+
C48H84NO8P+H+
C44H82NO8P+Na+
C42H80NO8P+H+
C46H82NO8P+H+
C44H80NO8P+H+
C43H82NO8P+H+
C40H78NO8P+H+
C44H82NO8P+H+
C41H80NO8P+H+
C43H78NO8P+H+
C43H76NO8P+H+
C42H84NO8P+Na+
C45H78NO8P+H+
C43H80NO8P+Na+
C41H74NO8P+H+
C43H74NO8P+H+
C41H71O8P+Na+
C41H78NO8P+H+
C41H72O5+H+
C39H76NO8P+H+
C44H78NO10P+H+
C46H78NO8P+H+
C43H75O8P+H+
C37H70O12S+H+
C43H71O8P+H+
C48H78NO8P+H+
C42H80NO10P+H+
C44H80NO8P+Na+
C41H76NO8P+H+
C47H82NO8P+H+
C46H78NO10P+H+
C28H33O14+Na+
C42H80NO8P+Na+
C26H52NO7P+Na+
C41H82O13P2+H+
C44H82NO10P+H+
C26H52NO7P+H+
C28H50NO7P+H+
C45H76NO7P+Na+
C43H73O8P+H+
C42H78NO10P+H+
C26H50NO7P+H+
C49H95O8P+H+
C43H81O13P+H+
C43H78NO7P+H+
C30H50NO7P+H+
C42H84NO8P+H+
C41H74NO7P+H+
C44H84NO10P+H+
C39H78NO8P+H+
C37H74NO8P+H+
